Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
Capsid,Q96KR1,0.002129889,0.993695898,0.981925777,0.907661648,DENV
Capsid,Q96DV4,0.000447092,0.95153035,1,0.90307139,DENV
Capsid,Q96SI9,0.002236776,0.970804837,0.977094529,0.896904517,DENV
Capsid,Q9H9J2,0.00035543,0.932097645,1,0.89626261,DENV
Capsid,Q16540,0.001111022,0.980880295,0.931194407,0.874177797,DENV
Capsid,Q9HD33,0.000384293,0.853163696,1,0.868638037,DENV
Capsid,Q12899,0.000392433,0.847965412,1,0.866819289,DENV
Capsid,O15355,0.00385721,0.972670554,0.916821385,0.86333146,DENV
Capsid,P12956,0.006803455,0.995845858,0.900774558,0.862531825,DENV
Capsid,Q9BRJ2,0.000390067,0.885672759,0.960609012,0.857563808,DENV
Capsid,P40855,0.001784969,0.906690619,0.941526106,0.854154394,DENV
Capsid,P13010,0.005837568,0.990444531,0.885488288,0.851850915,DENV
Capsid,Q6PKG0,0.001090553,0.95266628,0.90054552,0.846831389,DENV
Capsid,P56182,0.000103906,0.777766486,1,0.842226583,DENV
Capsid,Q9NYK5,0.000485895,0.8817667,0.929743898,0.838611239,DENV
Capsid,Q9HCE1,0.000213775,0.903710187,0.915730001,0.838281768,DENV
Capsid,Q8IXM3,0.000677905,0.842975293,0.948326423,0.835641646,DENV
Capsid,Q9BQG0,0.000619233,0.900512201,0.911195066,0.834609996,DENV
Capsid,Q8N5C6,0.000155747,0.961833186,0.871134816,0.83320092,DENV
Capsid,Q9NUD5,0.000208562,0.748240026,1,0.831900694,DENV
Capsid,Q9BYD3,0.000553805,0.86220327,0.926981286,0.830194782,DENV
Capsid,Q9NZB2,0.000154025,0.836536421,0.937594205,0.827228766,DENV
Capsid,Q8N5P1,0.000502272,0.819493951,0.93936107,0.822298874,DENV
Capsid,Q9BYC9,0.000192824,0.720116628,1,0.822056246,DENV
Capsid,O15226,0.000327624,0.963244898,0.849981769,0.821651533,DENV
Capsid,Q709F0,0.000109775,0.716629659,1,0.820829163,DENV
Capsid,Q9BZE1,0.000353509,0.955974188,0.852726674,0.820673451,DENV
Capsid,Q71RC2,9.00049E-05,0.781811993,0.952077028,0.816325304,DENV
Capsid,Q1ED39,0.000164598,0.769783851,0.958726352,0.815911536,DENV
Capsid,Q14684,0.000622711,0.936644579,0.85043107,0.812621129,DENV
Capsid,O00411,0.000344093,0.833931851,0.912768272,0.812181591,DENV
Capsid,Q09161,0.000230036,0.728681553,0.971904786,0.809042674,DENV
Capsid,Q9BQ75,0.001367605,0.90773368,0.859135153,0.807523234,DENV
Capsid,Q9H2W6,0.000547623,0.930402769,0.845242581,0.80747305,DENV
Capsid,Q96A35,0.000441879,0.912643908,0.8515309,0.804833331,DENV
Capsid,Q9NP92,0.000141513,0.666231948,1,0.803192503,DENV
Capsid,Q9NWU5,0.000576044,0.923138322,0.836901886,0.800178571,DENV
Capsid,Q13084,0.000358474,0.702112909,0.967339736,0.797151845,DENV
Capsid,Q49A26,0.000216447,0.822374539,0.892174573,0.796387911,DENV
Capsid,Q4G0J3,0.000284231,0.909805852,0.832106859,0.792755696,DENV
Capsid,Q5T653,0.000220461,0.774157502,0.911606724,0.790588595,DENV
Capsid,Q8N5N7,0.000160072,0.623634494,1,0.788284879,DENV
Capsid,Q08J23,0.000278094,0.867301076,0.849697198,0.787905027,DENV
Capsid,O43390,0.013975153,0.989412864,0.768566705,0.785495536,DENV
Capsid,P29558,0.000118214,0.690318069,0.954140565,0.785480903,DENV
Capsid,Q8N684,0.000273382,0.845833602,0.851130531,0.781208034,DENV
Capsid,Q96GC5,0.000263159,0.777442718,0.889188547,0.778963476,DENV
Capsid,Q8N9T8,0.00068284,0.98613325,0.758574556,0.777588762,DENV
Capsid,Q86UE4,0.000260984,0.855345542,0.838902602,0.777566301,DENV
Capsid,Q9NVP1,0.000870793,0.938659877,0.784020117,0.775492087,DENV
Capsid,Q1KMD3,0.000517448,0.970909507,0.761083671,0.773677416,DENV
Capsid,Q9P015,0.000655081,0.903193173,0.802509149,0.773600232,DENV
Capsid,O60506,0.021453946,0.990338127,0.741233343,0.770837665,DENV
Capsid,Q9H0D6,0.000371643,0.884427223,0.804980353,0.768418061,DENV
Capsid,Q9Y2R5,0.001496718,0.950623161,0.761306414,0.7667825,DENV
Capsid,Q9H6S0,0.000404333,0.976112304,0.745397006,0.766547946,DENV
Capsid,Q9UHX1,0.000365189,0.828772267,0.834439576,0.765730067,DENV
Capsid,Q9BYD6,0.000228667,0.751220217,0.88179299,0.765567374,DENV
Capsid,P82930,0.001111218,0.933209355,0.763683495,0.762011764,DENV
Capsid,P51398,0.000824192,0.956529917,0.74573329,0.759919382,DENV
Capsid,P35251,8.23542E-05,0.738962474,0.877402504,0.758762881,DENV
Capsid,P82933,0.001000931,0.949294196,0.745022858,0.756996072,DENV
Capsid,Q2NL82,0.000976647,0.980614239,0.718662727,0.752930869,DENV
Capsid,Q12906,0.005358114,0.996161364,0.707356599,0.752278388,DENV
Capsid,Q9Y2R9,0.001194814,0.919892668,0.752726708,0.751112243,DENV
Capsid,Q8NHQ9,0.000291487,0.835652906,0.800405002,0.748732687,DENV
Capsid,Q6PK04,0.000106373,0.618041622,0.933310666,0.748310157,DENV
Capsid,Q12905,0.009253202,0.987754566,0.704602625,0.74807785,DENV
Capsid,Q7Z2W4,0.000548853,0.967624062,0.717294006,0.747569913,DENV
Capsid,Q96DH6,0.000375436,0.669505409,0.89825767,0.7463638,DENV
Capsid,Q9BYN8,0.000777665,0.775949851,0.83142022,0.745554186,DENV
Capsid,Q13601,0.001637705,0.979076007,0.704314562,0.744266919,DENV
Capsid,P52298,0.000170583,0.491124249,1,0.741907134,DENV
